Neutrino Energy (GeV),Propagation Distance (km),Mixing Angle Theta,sin²(2θ),Mass-Squared Difference (eV^2),Shots Used,Number of Trials,Simulation Time Points,Analytical Time Points,Using Real QPU,Analytical Time Points,Analytical Electron,Analytical Muon,Analytical Electron Sim Time-Matched,Analytical Muon Sim Time-Matched,Time Points in Simulation,Simulation Electron Median,Electron Lower Error,Electron Upper Error,Simulation Muon Median,Muon Lower Error,Muon Upper Error,Trial 1: Electron Probabilities,Trial 1: Muon Probabilities,Trial 2: Electron Probabilities,Trial 2: Muon Probabilities,Trial 3: Electron Probabilities,Trial 3: Muon Probabilities,Trial 4: Electron Probabilities,Trial 4: Muon Probabilities,Trial 5: Electron Probabilities,Trial 5: Muon Probabilities,Trial 6: Electron Probabilities,Trial 6: Muon Probabilities,Trial 7: Electron Probabilities,Trial 7: Muon Probabilities,Trial 8: Electron Probabilities,Trial 8: Muon Probabilities,Trial 9: Electron Probabilities,Trial 9: Muon Probabilities,Trial 10: Electron Probabilities,Trial 10: Muon Probabilities
,,,,,,,,,,400.40040040040043,0.20732676274284,0.79267323725716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,401.4014014014014,0.20706436705443843,0.7929356329455616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,402.40240240240246,0.20682499834084433,0.7931750016591557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,403.40340340340344,0.20660867052863008,0.7933913294713699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,404.40440440440443,0.20641539620383909,0.7935846037961609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,405.4054054054054,0.20624518661125246,0.7937548133887475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,406.40640640640646,0.2060980516537364,0.7939019483462636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,407.40740740740745,0.20597399989166454,0.7940260001083355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,408.40840840840843,0.2058730385424209,0.7941269614575791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,409.4094094094094,0.205795173479979,0.794204826520021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,410.41041041041046,0.20574040923456116,0.7942595907654388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,411.41141141141145,0.20570874899237412,0.7942912510076259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,412.41241241241244,0.2057001945954241,0.7942998054045759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,413.4134134134134,0.20571474654140964,0.7942852534585904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,414.41441441441447,0.2057524039836922,0.7942475960163078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,415.41541541541545,0.20581316473134592,0.7941868352686541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,416.41641641641644,0.20589702524928533,0.7941029747507147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,417.4174174174175,0.2060039806584697,0.7939960193415303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,418.41841841841847,0.20613402473618847,0.7938659752638115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,419.41941941941946,0.20628714991642239,0.7937128500835776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,420.42042042042044,0.20646334729028404,0.793536652709716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,421.4214214214215,0.20666260660653601,0.793337393393464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,422.42242242242247,0.2068849162721874,0.7931150837278126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,423.42342342342346,0.2071302633531681,0.7928697366468319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,424.42442442442444,0.2073986335750816,0.7926013664249184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,425.4254254254255,0.20769001132403564,0.7923099886759644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,426.4264264264265,0.2080043796475497,0.7919956203524503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,427.42742742742746,0.20834172025554265,0.7916582797444573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,428.42842842842845,0.2087020135213956,0.7912979864786044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
